%-----------------------------------------------------------------
% Neuron11 
% Copyright (c) 2010 Javier G. Orlandi <javiergorlandi@gmail.com> 
%-----------------------------------------------------------------
% Generated Positional Map
% Format: Neuron # | X | Y
%-----------------------------------------------------------------
288 2.10773 0.677911
289 2.30571 -2.27855
290 -0.298883 -0.680058
291 0.00830639 1.30326
292 -1.38727 -0.593813
293 -1.16718 0.776276
294 1.19795 0.328502
295 -0.920508 -1.49195
296 0.0474023 0.759282
297 -1.69581 -2.0654
298 -0.811681 -1.79897
299 1.70356 -1.39842
300 -0.377156 1.62998
301 1.02496 1.50893
302 -0.306723 0.628211
303 0.474579 2.19808
304 0.749318 -2.29107
305 -0.0707546 -0.883796
306 -1.00893 0.967485
307 -1.89588 -0.594667
308 -0.324771 -2.22562
309 -2.02428 -1.32545
310 1.13055 0.148897
311 2.18632 -2.42073
312 -1.69247 -1.10928
313 0.121939 2.03005
314 2.28989 -0.183776
315 1.75358 2.3106
316 -1.75396 0.48993
317 -0.0894128 -0.838353
318 1.26878 -2.44198
319 -1.39538 1.42027
320 1.7873 -0.434866
321 -2.15738 2.33545
322 -0.734396 -1.39392
323 0.284749 0.786108
324 -1.49198 0.678926
325 0.0313668 -1.23919
326 -1.72804 0.379349
327 -2.45034 1.36139
328 -0.54528 -0.588187
329 1.97114 1.65504
330 2.1626 -0.588865
331 0.37081 1.3047
332 -1.61553 -0.698307
333 2.07532 -0.202853
334 2.31001 1.54164
335 0.301064 -1.14363
336 1.66287 -2.44927
337 -1.63928 1.95718
338 -2.41455 -0.356088
339 -1.05151 -1.76573
340 0.970872 0.456238
341 -2.15137 -1.5246
342 -2.09325 1.24391
343 -0.506937 1.23587
344 1.60377 -0.539223
345 -1.10982 -2.21175
346 -0.584744 2.13717
347 1.56484 0.323139
348 2.35908 1.28492
349 1.80255 0.578819
350 0.866127 1.71797
351 1.05155 -2.2453
352 1.65236 0.453946
353 -0.0423775 0.777394
354 -1.65508 0.275482
355 1.18797 -0.126174
356 1.5616 1.24973
357 -1.29768 1.77612
358 0.495774 -1.66511
359 -0.312516 -0.112917
360 -1.63585 0.992305
361 -1.7659 -2.22554
362 -1.70183 -0.246817
363 -2.14873 -1.95439
364 2.44716 0.816803
365 -2.18424 -1.43395
366 -0.140249 -1.83059
367 -2.15044 0.977548
368 -1.51426 -1.57522
369 -1.21113 0.981622
370 -0.618204 -0.0568717
371 -0.0819904 0.0761822
372 2.44731 0.338485
373 -2.26053 -0.807461
374 -2.08388 1.8909
375 2.01418 0.335349
376 -1.26594 -1.72082
377 -0.587072 1.2106
378 -2.46093 -2.12392
379 0.759643 2.08859
380 1.82095 2.07615
381 -1.57228 -2.12805
382 -2.23226 -0.125411
383 2.13381 -1.33923
384 1.75081 0.212765
385 -1.34529 2.48857
386 -1.81128 -0.0542928
387 -1.06689 0.438765
388 0.135286 -1.45736
389 -2.14689 -0.195549
390 -2.46859 0.260629
391 -0.736756 2.12825
392 -1.2387 1.84242
393 1.82452 1.96498
394 -0.615975 1.42632
395 -1.22744 0.609779
396 -1.16127 -1.70927
397 -0.677073 2.39146
398 0.908218 0.682261
399 1.41598 -1.86492
400 -0.35165 -1.62904
401 0.87776 -1.8549
402 -0.908379 -2.28136
403 -2.1388 -1.63994
404 -1.81815 2.29062
405 -1.26502 -0.320365
406 -0.427535 1.99339
407 0.556862 0.669003
408 0.630881 1.55677
409 -0.320872 0.240628
410 -1.10241 1.61843
411 -1.59465 0.279224
412 0.368083 0.44536
413 2.29145 -0.395784
414 2.3128 0.0323791
415 0.871909 -2.36727
416 0.374217 -2.45651
417 2.1743 1.95278
418 -0.3622 1.4634
419 0.186922 0.995926
420 -1.56505 -2.45117
421 -0.495494 -1.5012
422 -1.70009 2.28171
423 -1.98176 0.511552
424 1.46684 -1.6863
425 -1.39335 1.46273
426 -0.574683 -0.70889
427 0.741177 -0.286623
428 -2.48896 0.679535
429 -0.225949 1.39094
430 0.812614 -0.98707
431 -1.49627 -0.114044
432 0.599388 1.12357
433 0.710184 1.20231
434 -0.878477 1.5938
435 -1.00787 0.196066
436 -0.191792 -0.852813
437 -0.421617 1.71557
438 1.28605 -0.202086
439 1.72001 1.26044
440 0.399321 1.02898
441 2.21181 -1.64489
442 1.88227 -2.48619
443 1.66436 -1.97792
444 -0.637023 1.34695
445 1.75641 -1.30188
446 -2.28505 -0.597123
447 -1.41834 -1.61058
448 0.493273 1.5492
449 0.0640943 1.10306
450 -0.845451 -0.415602
451 1.0764 2.04743
452 0.595256 -2.09524
453 -1.14279 -2.3646
454 -1.95357 -1.47498
455 1.91758 1.63721
456 2.36953 -0.131512
457 -0.848513 0.0940636
458 1.30363 2.27973
459 0.620646 0.827269
460 -2.3909 -1.61692
461 1.65349 -0.172916
462 -0.698713 2.48299
463 -0.13999 1.63489
464 -1.42727 -0.700279
465 0.643995 -0.322
466 -2.19501 1.97848
467 2.38652 1.12089
468 -2.34612 0.693855
469 0.631819 2.30049
470 2.00876 0.722772
471 -1.42479 -0.249766
472 0.506294 -2.4986
473 -1.65048 1.13845
474 1.57487 1.89551
475 -0.683943 -0.421283
476 -2.29806 -0.992857
477 0.342667 0.015287
478 1.22105 2.47759
479 1.98223 0.79935
480 -0.300298 -1.60959
481 0.25259 -0.90862
482 0.788856 -2.43266
483 -0.519382 -1.9566
484 -0.151251 1.21279
485 -0.444237 1.54864
486 -0.573111 -1.68562
487 -0.906621 -1.2292
488 -0.156989 2.07884
489 -2.2421 -2.23327
490 0.412546 -2.39016
491 1.38178 -0.234887
492 2.25219 -0.611635
493 0.328355 1.22277
494 -0.493033 1.36709
495 -1.47345 -1.101
496 1.77176 -0.867901
497 -0.658629 -2.25408
498 -1.45753 -2.33668
499 0.364993 0.678866
500 1.9277 2.46265
501 -0.335623 -1.61915
502 0.149566 0.746413
503 -0.336747 -1.71647
504 -0.952874 0.298016
505 -1.57468 -1.2465
506 -0.0992212 1.0874
507 0.887347 -0.476282
508 0.684641 -1.25914
509 1.51213 0.94557
510 -1.59526 0.54398
511 0.804146 1.4193
512 1.7834 0.680057
513 -0.184503 0.83523
514 1.24892 -1.04437
515 -1.97556 0.444429
516 -0.698419 -2.21995
517 -0.697733 1.46771
518 1.82581 -1.13737
519 1.51149 0.64086
520 0.171186 -2.42827
521 -0.0738404 1.29705
522 0.789817 -1.33932
523 0.213192 0.794495
524 1.78043 -0.515727
525 1.49963 -2.06699
526 1.31458 1.41792
527 -0.167431 0.644745
528 1.94692 0.43169
529 -2.47889 1.76575
530 0.518396 -1.24474
531 -1.40093 -0.0527345
532 1.72339 -2.14493
533 1.11916 -1.20619
534 1.88921 0.683224
535 0.580726 0.596927
536 2.14838 1.44654
537 -0.307004 -0.858999
538 1.91767 -1.2672
539 1.40877 -2.37139
540 0.113387 -0.220167
541 2.17809 -1.0309
542 0.153351 -0.269808
543 -1.98912 1.08323
544 -2.18875 -0.34227
545 -1.02625 2.16647
546 -1.77968 -2.48219
547 2.19454 -1.21906
548 -0.814839 2.12245
549 -1.62347 1.9348
550 1.21384 -0.565903
551 -2.40367 -1.57931
552 0.943669 1.14298
553 -0.576399 -0.229425
554 -0.161086 -0.515489
555 -1.12122 0.878285
556 -0.305217 1.16409
557 0.152187 -0.869484
558 -1.74448 -2.46245
559 2.19272 0.118412
560 0.80288 -0.0862525
561 1.33911 -0.739516
562 -1.92715 -0.956016
563 1.705 -0.610837
564 2.31708 -2.33409
565 -0.483835 0.902665
566 0.981894 0.334027
567 2.16369 1.51949
568 -1.89159 -1.21151
569 -1.75285 0.110007
570 2.42833 -1.37642
571 0.405325 -0.474552
572 2.34003 -0.112964
573 0.095254 1.50808
574 0.774975 -2.22982
575 2.46995 -1.32094
576 1.93248 -0.364972
577 2.07964 -1.42512
578 2.39056 -1.36019
579 -1.56961 -0.980112
580 1.90622 0.87617
581 -1.78078 2.19368
582 1.14431 -0.0137902
583 1.39468 0.314025
584 -0.431527 -1.39223
585 1.24668 1.30214
586 2.26408 2.00104
587 0.552291 -1.71317
588 -0.219943 -0.247101
589 -0.802847 0.657176
590 1.40143 2.15795
591 -2.14795 -1.29139
592 1.09131 -1.07393
593 -0.890539 -1.04804
594 -1.17324 0.148444
595 -0.762301 2.31991
596 2.33826 -1.86802
597 -0.71771 1.82108
598 2.39213 -1.79223
599 2.47163 0.0778191
600 0.283405 -1.24771
601 -0.336693 -2.20978
602 -0.751423 -0.979282
603 -0.548611 1.77386
604 0.568993 0.256569
605 0.395377 0.753672
606 2.40431 -0.0134634
607 -1.67161 1.57113
608 0.766306 0.577404
609 -1.98549 -2.40244
610 -1.55935 0.591735
611 1.80033 1.0817
612 2.04619 1.54789
613 1.44666 0.160268
614 1.45058 -2.07728
615 1.75102 1.92356
616 -0.593358 1.94702
617 -2.37412 0.928817
618 0.589598 -1.34034
619 -0.176542 -1.92285
620 1.98442 0.0908742
621 1.76105 -1.40326
622 0.206182 -1.89561
623 -2.02572 1.84903
624 -1.41689 0.974092
625 -1.1642 -0.609607
626 -0.0995756 1.59371
627 -1.95874 -1.70839
628 2.35518 -2.06464
629 -0.0613849 -1.04309
630 -1.03093 1.11944
631 -2.17231 1.02784
632 0.768598 0.735292
633 0.6654 -0.148149
634 0.570552 2.23221
635 -0.316452 2.32723
636 1.22007 2.34371
637 1.40488 1.15295
638 1.93259 0.361735
639 1.03906 -1.82878
640 1.28615 -1.79696
641 -0.0725273 1.97557
642 1.77112 2.34243
643 -2.49909 -1.63809
644 0.997689 1.06549
645 0.309156 1.05672
646 -1.37272 0.458022
647 -2.15824 2.09933
648 -0.894855 -1.6207
649 -2.19524 1.96076
650 0.746809 -2.48104
651 0.465538 -0.952185
652 -1.16065 0.303324
653 1.44807 2.49935
654 2.14106 -0.560051
655 1.93087 -0.0593343
656 1.20617 -1.14323
657 -0.35043 -0.906657
658 -1.67373 1.34288
659 -2.48459 2.15491
660 -0.371122 -1.74302
661 -0.0514189 0.250478
662 0.228874 -1.08462
663 -1.80733 -1.42532
664 -0.440806 -1.49264
665 -2.44176 1.8516
666 1.37812 2.02336
667 -0.951381 -1.44353
668 0.665061 2.11383
669 -1.76173 1.2712
670 1.91176 0.67598
671 1.47593 -0.788211
672 -0.57603 1.12147
673 0.921673 -2.35851
674 2.21414 -0.321454
675 -1.58717 1.37714
676 -1.04427 0.097269
677 -0.424636 -2.11407
678 1.02147 -0.910696
679 0.96738 0.167708
680 0.262384 1.46985
681 2.48012 1.31862
682 -2.28842 0.753995
683 -2.29083 0.420725
684 1.41056 -0.685578
685 -2.23447 -1.75821
686 -0.088476 -2.29827
687 2.09152 0.251388
688 -0.906534 1.20987
689 1.44183 2.40891
690 -2.18426 -0.363404
691 -1.5355 0.695166
692 2.37382 -1.49496
693 2.1386 0.393078
694 2.24203 2.06514
695 -2.0528 -0.442904
696 -1.1384 -1.37985
697 -0.948113 1.3724
698 0.466725 0.409523
699 0.456048 -1.23692
700 -2.24959 0.921398
701 1.57427 1.28478
702 1.80669 1.11731
703 -0.888981 1.0904
704 -1.65858 -2.35493
705 -2.49548 2.22472
706 2.22954 -2.3193
707 -1.87718 0.838212
708 0.114974 0.548008
709 -1.21706 -1.22457
710 -0.00105777 1.18908
711 0.189216 1.95242
712 -0.0263153 1.66576
713 0.274581 1.43814
714 -1.86247 1.28918
715 0.420755 2.16935
716 -0.889438 -0.80336
717 0.953423 1.69374
718 0.932787 -1.59682
719 0.968923 -0.582314
720 -0.101392 0.437313
721 -1.08763 -2.46455
722 -0.892951 -1.64293
723 0.171148 -2.26973
724 -1.67401 -1.9312
725 -2.42919 -1.83397
726 -1.47808 0.837985
727 -0.378689 1.16994
728 -0.835791 2.46635
729 -0.120799 0.69906
730 1.43352 -0.209777
731 1.06993 0.475721
732 1.12875 0.630827
733 -2.30291 1.80667
734 0.821768 0.166298
735 -0.129754 -0.840632
736 -2.34055 -0.854709
737 0.590788 1.3701
738 1.05278 -2.35521
739 -2.14929 0.562759
740 1.9865 -0.891636
741 -2.19553 0.748231
742 0.647347 -0.0893834
743 -1.25202 -0.663375
744 0.204194 -0.679272
745 -2.46961 -0.797422
746 1.84249 2.47265
747 -2.02652 2.34345
748 2.06291 -2.17703
749 2.2472 -1.70035
750 -0.543923 0.405931
751 -1.03333 -1.87505
752 -1.40085 -2.31538
753 -1.84725 -0.771611
754 1.29413 1.99304
755 -0.149772 1.99888
756 -0.470787 -1.66537
757 -1.32516 0.553519
758 1.70789 1.21311
759 -1.50057 -0.273954
760 1.90566 1.92184
761 -0.591159 1.19274
762 -2.42308 0.684959
763 1.13601 1.57755
764 -1.71608 -0.0445034
765 1.94938 -2.27972
766 0.649651 -1.24629
767 2.04955 2.22717
768 -1.24891 -0.507715
769 -0.753421 0.0536731
770 2.2068 1.97615
771 -0.809007 1.57598
772 0.0321344 -0.867632
773 -1.01054 -0.974165
774 -1.81617 -2.10459
775 -0.72847 -0.289335
776 -0.46214 2.20188
777 0.186236 -2.19104
778 -2.05453 0.785904
779 1.98857 2.18801
780 1.20612 -2.46437
781 -0.0260005 -1.61747
782 1.52457 -0.612639
783 0.873261 -1.89671
784 -1.35705 -0.787421
785 -1.27283 -2.16282
786 -0.764754 1.33644
787 0.606152 -0.750184
788 -0.984794 0.253923
789 -1.30572 0.698904
790 1.73861 -2.49239
791 -0.894786 -1.17278
792 1.03898 0.331145
793 0.745013 0.497286
794 0.367167 -0.926331
795 1.20033 -0.737759
796 0.0736687 0.812859
797 1.78855 -0.182579
798 -0.311364 1.25305
799 0.695289 0.234008
800 -0.242896 0.607607
801 -1.29883 1.96147
802 2.33231 -1.97982
803 -2.39462 -0.910038
804 -2.47208 -1.3479
805 -1.78543 -0.511947
806 -0.0371506 -2.16041
807 -1.25916 1.22099
808 -2.28972 2.37232
809 -1.35148 -2.32684
810 -2.36884 -0.311619
811 -1.19674 -1.01413
812 -0.00150437 0.49017
813 1.36144 -0.0362683
814 -0.502044 -1.75404
815 2.33654 1.88835
816 1.69907 1.82208
817 -1.64966 -1.31598
818 1.24917 -2.21195
819 -2.36733 0.477763
820 -0.980232 1.31569
821 2.04469 -0.68912
822 -1.93917 0.616187
823 1.46523 0.270388
824 1.93381 -2.22222
825 -0.197049 0.878969
826 2.40141 -2.25308
827 -1.10128 -0.908382
828 -1.84065 2.33059
829 -0.393792 -1.14221
830 -0.891197 0.296671
831 2.25112 1.10342
832 1.94677 -0.645105
833 1.92941 -1.05467
834 2.30245 2.30699
835 1.13092 -2.42657
836 2.17671 1.04288
837 0.320524 1.57528
838 -0.32066 0.186196
839 2.39986 1.35289
840 -0.953468 -0.683384
841 -2.20874 -2.03135
842 -0.800557 0.701472
843 2.4366 1.75739
844 2.37973 0.553493
845 0.53223 1.787
846 -2.26833 0.439737
847 -0.502348 -0.434486
848 0.888777 0.491427
849 -2.44979 1.04435
850 -1.8752 0.583152
851 -1.00617 -1.72338
852 -0.0774682 1.52395
853 0.52681 -1.72584
854 -0.967962 -2.47337
855 0.194842 -0.88278
856 -2.18772 0.802838
857 1.86018 -0.38802
858 -1.94538 -0.987387
859 -0.741099 -1.02721
860 1.46082 -0.879442
861 0.764671 -1.4691
862 0.858136 -1.19989
863 -0.513707 1.34701
864 -1.94724 -0.604947
865 -0.326525 1.14356
866 -1.43953 1.22203
867 1.78427 0.0484123
868 1.03178 -0.558285
869 1.68775 -1.23654
870 -0.728788 -1.88654
871 1.46688 2.12773
872 -0.517422 -1.15174
873 -0.617542 2.11686
874 -1.24408 1.76034
875 2.27494 0.460602
876 -0.241909 1.89945
877 -1.01746 -0.0185255
878 -0.860467 -1.77007
879 -0.193166 -0.0757372
880 1.17139 -1.37934
881 0.625196 0.94655
882 -1.88978 -1.86447
883 -0.741742 -2.32517
884 -1.71172 1.13057
885 2.34586 0.325365
886 -1.69399 -2.28765
887 -0.520985 -2.00258
888 -2.37092 0.12108
889 2.16471 -1.00271
890 0.991764 -0.373884
891 -0.276088 1.93933
892 -1.69399 -0.00221656
893 1.77391 0.589004
894 -0.205672 -2.01655
895 -1.08898 0.835041
896 2.09866 1.03862
897 0.357081 -1.93248
898 -0.975295 0.0648534
899 -0.437357 0.167283
900 -0.574879 -1.90812
901 0.105173 -0.197552
902 -1.44913 -1.81899
903 1.91351 -0.993864
904 -0.53241 1.99525
905 2.23902 -0.947639
906 2.09188 -2.33746
907 1.45029 1.2188
908 2.41965 0.639853
909 2.43302 -0.413817
910 -0.302523 -1.89983
911 0.386306 -2.10776
912 1.18473 0.804231
913 1.1478 -1.51169
914 -2.06665 -1.248
915 -1.60134 -1.57347
916 -0.29497 -0.2646
917 -0.49515 0.804421
918 1.19552 1.60058
919 0.699435 -0.464019
920 -1.93121 -0.528303
921 -0.530099 -0.390147
922 1.33428 2.02404
923 0.988569 -0.464077
924 -2.11781 2.19399
925 0.00248998 -0.728477
926 0.616328 0.557
927 0.523064 -0.119594
928 -0.031682 0.207694
929 -1.32205 -1.81645
930 0.462715 -1.74918
931 -1.69587 -2.04125
932 2.43556 -0.806956
933 0.59723 -0.121329
934 2.08947 1.63639
935 -0.0817178 1.27331
936 -1.06302 0.606026
937 -2.41436 1.92874
938 0.431106 -1.14668
939 -0.745812 0.0274766
940 2.23171 1.92673
941 2.05149 1.04413
942 -0.680121 -2.22074
943 -1.71079 1.98475
944 1.93046 -0.111373
945 -0.600091 1.22329
946 2.48202 -2.30542
947 1.3837 0.0957936
948 0.37288 2.41926
949 -0.450695 -0.0505261
950 -2.49092 -2.30576
951 0.753731 1.98942
952 1.5113 -1.11387
953 0.818854 -0.0775773
954 0.718328 0.364933
955 -0.605213 -0.322986
956 -0.782573 -0.344345
957 1.41773 -1.30949
958 1.07244 -2.42329
959 -0.575365 0.712068
960 -1.75044 1.22106
961 1.57102 2.33814
962 -0.402639 -2.0216
963 1.57034 0.82544
964 1.60601 1.20093
965 1.47727 -0.0195914
966 -2.36362 0.334717
967 -1.56036 -0.693072
968 -1.16154 -0.497979
969 0.738727 0.178871
970 -0.827385 0.582255
971 0.77394 0.598225
972 -1.68566 0.261759
973 -1.71242 0.979674
974 1.91502 0.857032
975 0.881677 -1.02329
976 -0.0734585 2.40915
977 0.335759 1.30059
978 2.39052 1.17348
979 -0.276593 -2.01298
980 0.382063 0.775949
981 -1.8515 -0.440363
982 2.41615 0.143421
983 0.520497 -2.09422
984 1.0371 0.831978
985 -2.39204 2.3187
986 1.02012 -0.392853
987 -0.733845 -1.8551
988 0.162937 0.464107
989 1.31423 0.283367
990 0.140923 0.135151
991 -0.703692 0.250994
992 -0.049685 0.845781
993 -2.14783 0.00111525
994 1.94408 1.98008
995 -1.5722 1.39008
996 -0.758 1.49433
997 0.574415 1.94956
998 0.262932 -0.5449
999 0.825541 -0.211077
1000 -0.0935985 0.723605
1001 -0.0900926 -0.112265
1002 1.28401 -1.97705
1003 0.668809 0.310738
1004 1.77516 -1.20561
1005 -1.15924 2.30041
1006 1.84314 1.8562
1007 1.36861 0.697697
1008 2.4614 -0.978981
1009 -1.44652 0.989529
1010 -0.129165 2.07283
1011 0.643322 -1.05897
1012 1.35235 2.45585
1013 -0.138971 1.90153
1014 -1.38119 0.231364
1015 -0.550405 1.36568
1016 -2.27728 1.30326
1017 -1.97352 0.97075
1018 0.773044 0.974348
1019 2.45356 -0.0382616
1020 -2.4236 -0.0782937
1021 1.65501 -2.19459
1022 0.52799 1.3208
1023 -0.696023 2.2465
1024 -0.932013 -0.679975
1025 2.08807 1.31389
1026 -0.487285 1.6087
1027 -2.25694 -0.917678
1028 -1.23108 -1.8351
1029 1.96861 -2.43671
1030 2.35797 2.17896
1031 -0.133989 -1.43531
1032 1.53361 -0.56296
1033 -0.700771 -0.603953
1034 1.6722 1.68826
1035 0.437243 2.30185
1036 0.564125 0.527174
1037 -0.266959 1.60657
1038 1.97073 1.6759
1039 0.483208 1.04473
1040 -1.64188 2.44269
1041 -1.1694 1.74578
1042 -0.480127 0.795747
1043 0.557262 1.04371
1044 1.23164 1.42134
1045 2.47154 1.60977
1046 -0.400963 -1.8002
1047 0.961303 -1.63529
1048 1.11948 0.129319
1049 0.589904 -1.05917
1050 0.652145 0.391369
